parentId,childId
5,2
5,4
6,2
6,4
7,10
7,11
7,12
7,13
7,20
7,21
8,9
8,10
8,11
8,12
8,13
8,20
8,21
14,7
15,8
15,18
15,19
15,22
15,23
15,24
16,8
16,18
16,19
16,22
16,23
16,24
17,9
25,16
26,16
